3904 マザーズ (株)カヤック（情報・通信）,,,,,
"2017-05-19","1280","1285","1242","1275","179200","1275"
"2017-05-22","1270","1280","1255","1276","128000","1276"
"2017-05-23","1282","1282","1247","1250","141000","1250"
"2017-05-24","1256","1319","1256","1308","262300","1308"
"2017-05-25","1313","1340","1289","1296","176700","1296"
"2017-05-26","1296","1336","1287","1328","177000","1328"
"2017-05-29","1352","1368","1312","1320","173300","1320"
"2017-05-30","1350","1430","1343","1430","618600","1430"
"2017-05-31","1420","1436","1373","1399","342300","1399"
"2017-06-01","1404","1445","1391","1397","264000","1397"
"2017-06-02","1400","1405","1346","1357","250100","1357"
"2017-06-05","1360","1388","1351","1355","156100","1355"
"2017-06-06","1357","1360","1309","1309","180000","1309"
"2017-06-07","1309","1360","1304","1350","130800","1350"
"2017-06-08","1360","1375","1330","1337","85500","1337"
"2017-06-09","1339","1365","1332","1360","128600","1360"
"2017-06-12","1371","1407","1343","1356","254800","1356"
"2017-06-13","1352","1405","1349","1397","236400","1397"
"2017-06-14","1410","1455","1352","1385","476500","1385"
"2017-06-15","1396","1418","1377","1415","181900","1415"
"2017-06-16","1420","1434","1386","1392","158700","1392"
"2017-06-19","1402","1406","1371","1380","134100","1380"
"2017-06-20","1394","1395","1367","1368","110400","1368"
"2017-06-21","1368","1448","1362","1425","313900","1425"
"2017-06-22","1428","1436","1397","1422","184400","1422"
"2017-06-23","1430","1500","1392","1465","581600","1465"
"2017-06-26","1500","1509","1437","1499","339500","1499"
"2017-06-27","1505","1535","1482","1526","350000","1526"
"2017-06-28","1513","1548","1477","1494","306200","1494"
"2017-06-29","1510","1590","1500","1539","349400","1539"
"2017-06-30","1500","1525","1460","1485","285200","1485"
"2017-07-03","1484","1499","1430","1438","128600","1438"
"2017-07-04","1453","1463","1406","1425","160600","1425"
"2017-07-05","1447","1459","1408","1418","113900","1418"
"2017-07-06","1422","1431","1380","1392","139400","1392"
"2017-07-07","1368","1550","1365","1406","413300","1406"
"2017-07-10","1409","1450","1392","1434","121200","1434"
"2017-07-11","1453","1514","1430","1489","235100","1489"
"2017-07-12","1490","1500","1453","1465","109200","1465"
"2017-07-13","1488","1490","1456","1457","75500","1457"
"2017-07-14","1457","1480","1457","1478","103000","1478"
"2017-07-18","1490","1580","1481","1561","468500","1561"
"2017-07-19","1570","1628","1570","1595","520300","1595"
"2017-07-20","1619","1625","1561","1582","255500","1582"
"2017-07-21","1582","1585","1553","1566","104000","1566"
"2017-07-24","1569","1650","1565","1650","320300","1650"
"2017-07-25","1650","1719","1620","1716","490100","1716"
"2017-07-26","1725","1742","1653","1683","291600","1683"
"2017-07-27","1705","1748","1670","1700","201100","1700"
"2017-07-28","1685","1687","1606","1644","238900","1644"
"2017-07-31","1632","1660","1601","1660","136900","1660"
"2017-08-01","1652","1717","1586","1651","282600","1651"
"2017-08-02","1637","1711","1637","1695","185300","1695"
"2017-08-03","1689","1694","1611","1617","200400","1617"
"2017-08-04","1601","1654","1600","1629","114700","1629"
"2017-08-07","1644","1648","1624","1633","64800","1633"
"2017-08-08","1635","1680","1635","1650","102200","1650"
"2017-08-09","1680","1680","1614","1660","117900","1660"
"2017-08-10","1644","1663","1595","1621","155400","1621"
"2017-08-14","1470","1610","1460","1600","205500","1600"
"2017-08-15","1645","1645","1406","1490","569500","1490"
"2017-08-16","1520","1533","1480","1514","175300","1514"
"2017-08-17","1520","1534","1499","1515","92700","1515"
"2017-08-18","1465","1497","1445","1456","181000","1456"
"2017-08-21","1457","1475","1415","1422","114300","1422"
"2017-08-22","1430","1480","1425","1428","137400","1428"
"2017-08-23","1460","1518","1454","1512","147400","1512"
"2017-08-24","1501","1558","1496","1542","162500","1542"
"2017-08-25","1550","1569","1502","1529","95300","1529"
"2017-08-28","1534","1559","1529","1532","90200","1532"
"2017-08-29","1497","1549","1490","1527","107300","1527"
"2017-08-30","1527","1548","1499","1526","83600","1526"
"2017-08-31","1524","1524","1505","1513","41100","1513"
"2017-09-01","1513","1525","1472","1481","94500","1481"
"2017-09-04","1488","1498","1421","1432","142200","1432"
"2017-09-05","1438","1451","1312","1351","215400","1351"
"2017-09-06","1321","1396","1310","1372","113800","1372"
"2017-09-07","1370","1396","1354","1357","46300","1357"
"2017-09-08","1344","1378","1326","1339","60200","1339"
"2017-09-11","1357","1386","1345","1375","42400","1375"
"2017-09-12","1381","1409","1376","1399","45000","1399"
"2017-09-13","1428","1449","1401","1421","97500","1421"
"2017-09-14","1413","1421","1381","1387","61000","1387"
"2017-09-15","1364","1406","1360","1405","57000","1405"
"2017-09-19","1421","1432","1408","1422","53200","1422"
"2017-09-20","1445","1446","1414","1424","62200","1424"
"2017-09-21","1431","1432","1388","1391","112800","1391"
"2017-09-22","1420","1420","1352","1360","133600","1360"
"2017-09-25","1360","1395","1346","1352","86500","1352"
"2017-09-26","1352","1352","1316","1322","113100","1322"
"2017-09-27","1328","1370","1323","1362","77600","1362"
"2017-09-28","1367","1380","1331","1342","69800","1342"
"2017-09-29","1339","1357","1333","1336","55600","1336"
"2017-10-02","1365","1374","1343","1360","57600","1360"
"2017-10-03","1375","1375","1343","1361","55000","1361"
"2017-10-04","1365","1365","1344","1348","41800","1348"
"2017-10-05","1343","1348","1304","1306","113500","1306"
"2017-10-06","1306","1315","1302","1306","52600","1306"
"2017-10-10","1315","1318","1274","1290","110300","1290"
"2017-10-11","1300","1300","1260","1273","88400","1273"
"2017-10-12","1275","1300","1272","1300","63200","1300"
"2017-10-13","1300","1302","1280","1295","41700","1295"
"2017-10-16","1279","1284","1245","1252","137500","1252"
"2017-10-17","1252","1266","1240","1241","88900","1241"
"2017-10-18","1255","1260","1231","1237","73100","1237"
"2017-10-19","1247","1257","1230","1252","48400","1252"
"2017-10-20","1250","1257","1235","1257","39200","1257"
"2017-10-23","1262","1263","1243","1254","86300","1254"
"2017-10-24","1259","1299","1259","1294","105400","1294"
"2017-10-25","1297","1344","1297","1321","165800","1321"
"2017-10-26","1320","1336","1307","1314","65300","1314"
"2017-10-27","1317","1335","1308","1327","59400","1327"
"2017-10-30","1342","1374","1342","1374","96400","1374"
"2017-10-31","1385","1386","1352","1372","91000","1372"
"2017-11-01","1372","1372","1341","1365","86700","1365"
"2017-11-02","1361","1367","1333","1338","67900","1338"
"2017-11-06","1343","1354","1323","1328","43300","1328"
"2017-11-07","1345","1345","1315","1317","26200","1317"
"2017-11-08","1317","1337","1307","1335","47000","1335"
"2017-11-09","1352","1380","1304","1330","143700","1330"
"2017-11-10","1330","1346","1306","1343","60300","1343"
"2017-11-13","1350","1353","1323","1353","54600","1353"
"2017-11-15","1321","1324","1231","1238","215900","1238"
"2017-11-16","1288","1320","1276","1305","113700","1305"
"2017-11-17","1305","1398","1305","1339","237200","1339"
"2017-11-20","1369","1494","1348","1490","702700","1490"
"2017-11-21","1471","1510","1446","1494","275200","1494"
"2017-11-22","1510","1515","1449","1462","184000","1462"
"2017-11-24","1465","1487","1438","1444","114900","1444"
"2017-11-27","1474","1538","1451","1462","229000","1462"
"2017-11-28","1456","1484","1380","1437","195400","1437"
"2017-11-29","1437","1460","1406","1437","82800","1437"
"2017-11-30","1440","1440","1365","1424","222300","1424"
"2017-12-01","1418","1422","1388","1411","95000","1411"
"2017-12-04","1394","1399","1329","1334","193700","1334"
"2017-12-05","1345","1354","1303","1345","85500","1345"
"2017-12-06","1328","1355","1302","1320","61000","1320"
"2017-12-07","1322","1366","1322","1341","54700","1341"
"2017-12-08","1350","1358","1330","1341","48500","1341"
"2017-12-11","1353","1380","1343","1350","69300","1350"
"2017-12-12","1347","1377","1344","1377","50600","1377"
"2017-12-13","1391","1458","1381","1448","241100","1448"
"2017-12-14","1436","1437","1402","1430","112500","1430"
"2017-12-15","1411","1448","1386","1403","108900","1403"
"2017-12-18","1420","1424","1382","1405","34800","1405"
"2017-12-19","1405","1439","1397","1397","44600","1397"
"2017-12-20","1397","1403","1362","1362","57300","1362"
"2017-12-21","1356","1382","1353","1361","49700","1361"
"2017-12-22","1420","1470","1396","1419","280400","1419"
"2017-12-25","1430","1430","1385","1385","56900","1385"
"2017-12-26","1415","1415","1391","1395","66300","1395"
"2017-12-27","1420","1457","1410","1442","119900","1442"
"2017-12-28","1448","1468","1404","1411","84100","1411"
"2017-12-29","1420","1449","1393","1400","55600","1400"
